id,section,question,answer,readability_new,relevancy_q_new,relevancy_a_new
27,"one day the man called to his daughter and bade her come with him into the forest to cut wood. they worked hard all day, but in spite of the chopping they were very cold, for it rained heavily, and when they returned home, they were wet through. then, to his vexation, the man found that he had left his axe behind him, and he knew that if it lay all night in the mud it would become rusty and useless. so he said to his wife:'i have dropped my axe in the forest, bid your daughter go and fetch it, for mine has worked hard all day and is both wet and weary.' .",what did val do with his daughter?,cut wood.,5,3,4
28,"one day the man called to his daughter and bade her come with him into the forest to cut wood. they worked hard all day, but in spite of the chopping they were very cold, for it rained heavily, and when they returned home, they were wet through. then, to his vexation, the man found that he had left his axe behind him, and he knew that if it lay all night in the mud it would become rusty and useless. so he said to his wife:'i have dropped my axe in the forest, bid your daughter go and fetch it, for mine has worked hard all day and is both wet and weary.' .",who dropped their axe in the forest?,the man.,5,5,5
29,"one day the man called to his daughter and bade her come with him into the forest to cut wood. they worked hard all day, but in spite of the chopping they were very cold, for it rained heavily, and when they returned home, they were wet through. then, to his vexation, the man found that he had left his axe behind him, and he knew that if it lay all night in the mud it would become rusty and useless. so he said to his wife:'i have dropped my axe in the forest, bid your daughter go and fetch it, for mine has worked hard all day and is both wet and weary.' .",who dropped their axe in the forest?,the man.,5,4,5
30,"one day the man called to his daughter and bade her come with him into the forest to cut wood. they worked hard all day, but in spite of the chopping they were very cold, for it rained heavily, and when they returned home, they were wet through. then, to his vexation, the man found that he had left his axe behind him, and he knew that if it lay all night in the mud it would become rusty and useless. so he said to his wife:'i have dropped my axe in the forest, bid your daughter go and fetch it, for mine has worked hard all day and is both wet and weary.' .",why were the daughter and man cold?,they worked hard all day.,3,4,1
31,"one day the man called to his daughter and bade her come with him into the forest to cut wood. they worked hard all day, but in spite of the chopping they were very cold, for it rained heavily, and when they returned home, they were wet through. then, to his vexation, the man found that he had left his axe behind him, and he knew that if it lay all night in the mud it would become rusty and useless. so he said to his wife:'i have dropped my axe in the forest, bid your daughter go and fetch it, for mine has worked hard all day and is both wet and weary.' .",why were the daughter and man cold?,they worked hard all day.,5,5,1
32,"one day the man called to his daughter and bade her come with him into the forest to cut wood. they worked hard all day, but in spite of the chopping they were very cold, for it rained heavily, and when they returned home, they were wet through. then, to his vexation, the man found that he had left his axe behind him, and he knew that if it lay all night in the mud it would become rusty and useless. so he said to his wife:'i have dropped my axe in the forest, bid your daughter go and fetch it, for mine has worked hard all day and is both wet and weary.' .",where did the man drop his axe?,the forest.,5,5,3
33,"one day the man called to his daughter and bade her come with him into the forest to cut wood. they worked hard all day, but in spite of the chopping they were very cold, for it rained heavily, and when they returned home, they were wet through. then, to his vexation, the man found that he had left his axe behind him, and he knew that if it lay all night in the mud it would become rusty and useless. so he said to his wife:'i have dropped my axe in the forest, bid your daughter go and fetch it, for mine has worked hard all day and is both wet and weary.' .",where did the man drop his axe?,the forest.,5,5,4
34,"but the wife answered:'if your daughter is wet already, it is all the more reason that she should go and get the axe. besides, she is a great strong girl, and a little rain will not hurt her, while my daughter would be sure to catch a bad cold.'by long experience the man knew there was no good saying any more, and with a sigh he told the poor girl she must return to the forest for the axe .",why did the wife not want her daughter to fetch the axe ?,her daughter would be sure to catch a bad cold .,5,5,5
35,"but the wife answered:'if your daughter is wet already, it is all the more reason that she should go and get the axe. besides, she is a great strong girl, and a little rain will not hurt her, while my daughter would be sure to catch a bad cold.'by long experience the man knew there was no good saying any more, and with a sigh he told the poor girl she must return to the forest for the axe .",why did the wife not want her daughter to fetch the axe ?,her daughter would be sure to catch a bad cold .,5,5,5
36,"but the wife answered:'if your daughter is wet already, it is all the more reason that she should go and get the axe. besides, she is a great strong girl, and a little rain will not hurt her, while my daughter would be sure to catch a bad cold.'by long experience the man knew there was no good saying any more, and with a sigh he told the poor girl she must return to the forest for the axe .",what did val say would not hurt him?,rain.,3,2,3
37,"but the wife answered:'if your daughter is wet already, it is all the more reason that she should go and get the axe. besides, she is a great strong girl, and a little rain will not hurt her, while my daughter would be sure to catch a bad cold.'by long experience the man knew there was no good saying any more, and with a sigh he told the poor girl she must return to the forest for the axe .",what did val say would not hurt him?,rain.,5,2,2
38,"but the wife answered:'if your daughter is wet already, it is all the more reason that she should go and get the axe. besides, she is a great strong girl, and a little rain will not hurt her, while my daughter would be sure to catch a bad cold.'by long experience the man knew there was no good saying any more, and with a sigh he told the poor girl she must return to the forest for the axe .",what did the poor girl return to the forest for?,the axe.,5,4,5
39,"but the wife answered:'if your daughter is wet already, it is all the more reason that she should go and get the axe. besides, she is a great strong girl, and a little rain will not hurt her, while my daughter would be sure to catch a bad cold.'by long experience the man knew there was no good saying any more, and with a sigh he told the poor girl she must return to the forest for the axe .",what did the poor girl return to the forest for?,the axe.,5,5,5
40,"but the wife answered:'if your daughter is wet already, it is all the more reason that she should go and get the axe. besides, she is a great strong girl, and a little rain will not hurt her, while my daughter would be sure to catch a bad cold.'by long experience the man knew there was no good saying any more, and with a sigh he told the poor girl she must return to the forest for the axe .",what did val say would not hurt her?,a little rain.,3,4,5
41,"but the wife answered:'if your daughter is wet already, it is all the more reason that she should go and get the axe. besides, she is a great strong girl, and a little rain will not hurt her, while my daughter would be sure to catch a bad cold.'by long experience the man knew there was no good saying any more, and with a sigh he told the poor girl she must return to the forest for the axe .",what did val say would not hurt her?,a little rain.,5,3,4
42,"but the wife answered:'if your daughter is wet already, it is all the more reason that she should go and get the axe. besides, she is a great strong girl, and a little rain will not hurt her, while my daughter would be sure to catch a bad cold.'by long experience the man knew there was no good saying any more, and with a sigh he told the poor girl she must return to the forest for the axe .",who was the daughter?,a great strong girl.,5,2,2
43,"but the wife answered:'if your daughter is wet already, it is all the more reason that she should go and get the axe. besides, she is a great strong girl, and a little rain will not hurt her, while my daughter would be sure to catch a bad cold.'by long experience the man knew there was no good saying any more, and with a sigh he told the poor girl she must return to the forest for the axe .",who was the daughter?,a great strong girl.,5,2,3
44,"but the wife answered:'if your daughter is wet already, it is all the more reason that she should go and get the axe. besides, she is a great strong girl, and a little rain will not hurt her, while my daughter would be sure to catch a bad cold.'by long experience the man knew there was no good saying any more, and with a sigh he told the poor girl she must return to the forest for the axe .",what would the daughter catch from being wet?,a bad cold.,5,4,5
45,"but the wife answered:'if your daughter is wet already, it is all the more reason that she should go and get the axe. besides, she is a great strong girl, and a little rain will not hurt her, while my daughter would be sure to catch a bad cold.'by long experience the man knew there was no good saying any more, and with a sigh he told the poor girl she must return to the forest for the axe .",what would the daughter catch from being wet?,a bad cold.,5,5,5
46,"but the wife answered:'if your daughter is wet already, it is all the more reason that she should go and get the axe. besides, she is a great strong girl, and a little rain will not hurt her, while my daughter would be sure to catch a bad cold.'by long experience the man knew there was no good saying any more, and with a sigh he told the poor girl she must return to the forest for the axe .",what did the daughter need to return home for?,the axe.,5,1,1
47,"but the wife answered:'if your daughter is wet already, it is all the more reason that she should go and get the axe. besides, she is a great strong girl, and a little rain will not hurt her, while my daughter would be sure to catch a bad cold.'by long experience the man knew there was no good saying any more, and with a sigh he told the poor girl she must return to the forest for the axe .",what did the daughter need to return home for?,the axe.,5,2,2
48,"the walk took some time, for it was very dark, and her shoes often stuck in the mud, but she was brave as well as beautiful and never thought of turning back merely because the path was both difficult and unpleasant. at last, with her dress torn by brambles that she could not see, and her fact scratched by the twigs on the trees, she reached the spot where she and her father had been cutting in the morning, and found the axe in the place he had left it. to her surprise, three little doves were sitting on the handle, all of them looking very sad .",how did the man's daughter feel about seeing the three little doves ?,surprised .,5,5,5
49,"the walk took some time, for it was very dark, and her shoes often stuck in the mud, but she was brave as well as beautiful and never thought of turning back merely because the path was both difficult and unpleasant. at last, with her dress torn by brambles that she could not see, and her fact scratched by the twigs on the trees, she reached the spot where she and her father had been cutting in the morning, and found the axe in the place he had left it. to her surprise, three little doves were sitting on the handle, all of them looking very sad .",how did the man's daughter feel about seeing the three little doves ?,surprised .,5,5,5
50,"the walk took some time, for it was very dark, and her shoes often stuck in the mud, but she was brave as well as beautiful and never thought of turning back merely because the path was both difficult and unpleasant. at last, with her dress torn by brambles that she could not see, and her fact scratched by the twigs on the trees, she reached the spot where she and her father had been cutting in the morning, and found the axe in the place he had left it. to her surprise, three little doves were sitting on the handle, all of them looking very sad .",how did the three little doves look when the man's daughter saw them on the axe ?,very sad .,5,5,5
51,"the walk took some time, for it was very dark, and her shoes often stuck in the mud, but she was brave as well as beautiful and never thought of turning back merely because the path was both difficult and unpleasant. at last, with her dress torn by brambles that she could not see, and her fact scratched by the twigs on the trees, she reached the spot where she and her father had been cutting in the morning, and found the axe in the place he had left it. to her surprise, three little doves were sitting on the handle, all of them looking very sad .",how did the three little doves look when the man's daughter saw them on the axe ?,very sad .,5,5,5
52,"the walk took some time, for it was very dark, and her shoes often stuck in the mud, but she was brave as well as beautiful and never thought of turning back merely because the path was both difficult and unpleasant. at last, with her dress torn by brambles that she could not see, and her fact scratched by the twigs on the trees, she reached the spot where she and her father had been cutting in the morning, and found the axe in the place he had left it. to her surprise, three little doves were sitting on the handle, all of them looking very sad .",who was sitting on the handle of val's axe?,three little doves.,4,5,5
53,"the walk took some time, for it was very dark, and her shoes often stuck in the mud, but she was brave as well as beautiful and never thought of turning back merely because the path was both difficult and unpleasant. at last, with her dress torn by brambles that she could not see, and her fact scratched by the twigs on the trees, she reached the spot where she and her father had been cutting in the morning, and found the axe in the place he had left it. to her surprise, three little doves were sitting on the handle, all of them looking very sad .",who was sitting on the handle of val's axe?,three little doves.,5,3,4
54,"the walk took some time, for it was very dark, and her shoes often stuck in the mud, but she was brave as well as beautiful and never thought of turning back merely because the path was both difficult and unpleasant. at last, with her dress torn by brambles that she could not see, and her fact scratched by the twigs on the trees, she reached the spot where she and her father had been cutting in the morning, and found the axe in the place he had left it. to her surprise, three little doves were sitting on the handle, all of them looking very sad .",what was val's dress torn by?,brambles.,5,3,5
55,"the walk took some time, for it was very dark, and her shoes often stuck in the mud, but she was brave as well as beautiful and never thought of turning back merely because the path was both difficult and unpleasant. at last, with her dress torn by brambles that she could not see, and her fact scratched by the twigs on the trees, she reached the spot where she and her father had been cutting in the morning, and found the axe in the place he had left it. to her surprise, three little doves were sitting on the handle, all of them looking very sad .",what was val's dress torn by?,brambles.,5,3,4
56,"the walk took some time, for it was very dark, and her shoes often stuck in the mud, but she was brave as well as beautiful and never thought of turning back merely because the path was both difficult and unpleasant. at last, with her dress torn by brambles that she could not see, and her fact scratched by the twigs on the trees, she reached the spot where she and her father had been cutting in the morning, and found the axe in the place he had left it. to her surprise, three little doves were sitting on the handle, all of them looking very sad .",how many doves were sitting on the handle of val's axe?,three.,5,5,5
57,"the walk took some time, for it was very dark, and her shoes often stuck in the mud, but she was brave as well as beautiful and never thought of turning back merely because the path was both difficult and unpleasant. at last, with her dress torn by brambles that she could not see, and her fact scratched by the twigs on the trees, she reached the spot where she and her father had been cutting in the morning, and found the axe in the place he had left it. to her surprise, three little doves were sitting on the handle, all of them looking very sad .",how many doves were sitting on the handle of val's axe?,three.,5,3,4
58,"the walk took some time, for it was very dark, and her shoes often stuck in the mud, but she was brave as well as beautiful and never thought of turning back merely because the path was both difficult and unpleasant. at last, with her dress torn by brambles that she could not see, and her fact scratched by the twigs on the trees, she reached the spot where she and her father had been cutting in the morning, and found the axe in the place he had left it. to her surprise, three little doves were sitting on the handle, all of them looking very sad .",who were sitting on the handle of her father's axe?,three little doves.,3,5,5
59,"the walk took some time, for it was very dark, and her shoes often stuck in the mud, but she was brave as well as beautiful and never thought of turning back merely because the path was both difficult and unpleasant. at last, with her dress torn by brambles that she could not see, and her fact scratched by the twigs on the trees, she reached the spot where she and her father had been cutting in the morning, and found the axe in the place he had left it. to her surprise, three little doves were sitting on the handle, all of them looking very sad .",who were sitting on the handle of her father's axe?,three little doves.,5,5,5
60,"the walk took some time, for it was very dark, and her shoes often stuck in the mud, but she was brave as well as beautiful and never thought of turning back merely because the path was both difficult and unpleasant. at last, with her dress torn by brambles that she could not see, and her fact scratched by the twigs on the trees, she reached the spot where she and her father had been cutting in the morning, and found the axe in the place he had left it. to her surprise, three little doves were sitting on the handle, all of them looking very sad .",who was cutting in the morning?,her father.,3,4,5
61,"the walk took some time, for it was very dark, and her shoes often stuck in the mud, but she was brave as well as beautiful and never thought of turning back merely because the path was both difficult and unpleasant. at last, with her dress torn by brambles that she could not see, and her fact scratched by the twigs on the trees, she reached the spot where she and her father had been cutting in the morning, and found the axe in the place he had left it. to her surprise, three little doves were sitting on the handle, all of them looking very sad .",who was cutting in the morning?,her father.,4,5,5
62,"the walk took some time, for it was very dark, and her shoes often stuck in the mud, but she was brave as well as beautiful and never thought of turning back merely because the path was both difficult and unpleasant. at last, with her dress torn by brambles that she could not see, and her fact scratched by the twigs on the trees, she reached the spot where she and her father had been cutting in the morning, and found the axe in the place he had left it. to her surprise, three little doves were sitting on the handle, all of them looking very sad .",what was the girl's shoes stuck in?,the mud.,4,3,5
63,"the walk took some time, for it was very dark, and her shoes often stuck in the mud, but she was brave as well as beautiful and never thought of turning back merely because the path was both difficult and unpleasant. at last, with her dress torn by brambles that she could not see, and her fact scratched by the twigs on the trees, she reached the spot where she and her father had been cutting in the morning, and found the axe in the place he had left it. to her surprise, three little doves were sitting on the handle, all of them looking very sad .",what was the girl's shoes stuck in?,the mud.,3,5,5
64,"there was once a fisherman who was called salmon, and his christian namewas matte. he lived by the shore of the big sea; where else could helive? he had a wife called maie; could you find a better name for her?in winter they dwelt in a little cottage by the shore, but in springthey flitted to a red rock out in the sea and stayed there the wholesummer until it was autumn. the cottage on the rock was even smallerthan the other; it had a wooden bolt instead of an iron lock to thedoor, a stone hearth, a flagstaff, and a weather-cock on the roof.the rock was called ahtola, and was not larger than the market-placeof a town. between the crevices there grew a little rowan tree and fouralder bushes. heaven only knows how they ever came there; perhaps theywere brought by the winter storms. besides that, there flourished sometufts of velvety grass, some scattered reeds, two plants of the yellowherb called tansy, four of a red flower, and a pretty white one; but thetreasures of the rock consisted of three roots of garlic, which maie hadput in a cleft. rock walls sheltered them on the north side, and thesun shone on them on the south. this does not seem much, but it sufficedmaie for a herb plot .","who was called salmon, and his christian name was matte ?",a fisherman .,4,5,5
65,"there was once a fisherman who was called salmon, and his christian namewas matte. he lived by the shore of the big sea; where else could helive? he had a wife called maie; could you find a better name for her?in winter they dwelt in a little cottage by the shore, but in springthey flitted to a red rock out in the sea and stayed there the wholesummer until it was autumn. the cottage on the rock was even smallerthan the other; it had a wooden bolt instead of an iron lock to thedoor, a stone hearth, a flagstaff, and a weather-cock on the roof.the rock was called ahtola, and was not larger than the market-placeof a town. between the crevices there grew a little rowan tree and fouralder bushes. heaven only knows how they ever came there; perhaps theywere brought by the winter storms. besides that, there flourished sometufts of velvety grass, some scattered reeds, two plants of the yellowherb called tansy, four of a red flower, and a pretty white one; but thetreasures of the rock consisted of three roots of garlic, which maie hadput in a cleft. rock walls sheltered them on the north side, and thesun shone on them on the south. this does not seem much, but it sufficedmaie for a herb plot .",where did the fisherman live ?,by the shore of the big sea .,5,5,5
66,"there was once a fisherman who was called salmon, and his christian namewas matte. he lived by the shore of the big sea; where else could helive? he had a wife called maie; could you find a better name for her?in winter they dwelt in a little cottage by the shore, but in springthey flitted to a red rock out in the sea and stayed there the wholesummer until it was autumn. the cottage on the rock was even smallerthan the other; it had a wooden bolt instead of an iron lock to thedoor, a stone hearth, a flagstaff, and a weather-cock on the roof.the rock was called ahtola, and was not larger than the market-placeof a town. between the crevices there grew a little rowan tree and fouralder bushes. heaven only knows how they ever came there; perhaps theywere brought by the winter storms. besides that, there flourished sometufts of velvety grass, some scattered reeds, two plants of the yellowherb called tansy, four of a red flower, and a pretty white one; but thetreasures of the rock consisted of three roots of garlic, which maie hadput in a cleft. rock walls sheltered them on the north side, and thesun shone on them on the south. this does not seem much, but it sufficedmaie for a herb plot .",where did matte and maie live during the winter ?,in a little cottage by the shore .,5,5,5
67,"there was once a fisherman who was called salmon, and his christian namewas matte. he lived by the shore of the big sea; where else could helive? he had a wife called maie; could you find a better name for her?in winter they dwelt in a little cottage by the shore, but in springthey flitted to a red rock out in the sea and stayed there the wholesummer until it was autumn. the cottage on the rock was even smallerthan the other; it had a wooden bolt instead of an iron lock to thedoor, a stone hearth, a flagstaff, and a weather-cock on the roof.the rock was called ahtola, and was not larger than the market-placeof a town. between the crevices there grew a little rowan tree and fouralder bushes. heaven only knows how they ever came there; perhaps theywere brought by the winter storms. besides that, there flourished sometufts of velvety grass, some scattered reeds, two plants of the yellowherb called tansy, four of a red flower, and a pretty white one; but thetreasures of the rock consisted of three roots of garlic, which maie hadput in a cleft. rock walls sheltered them on the north side, and thesun shone on them on the south. this does not seem much, but it sufficedmaie for a herb plot .",where did matte and maie live during the spring ?,a red rock out in the sea .,5,5,4
68,"there was once a fisherman who was called salmon, and his christian namewas matte. he lived by the shore of the big sea; where else could helive? he had a wife called maie; could you find a better name for her?in winter they dwelt in a little cottage by the shore, but in springthey flitted to a red rock out in the sea and stayed there the wholesummer until it was autumn. the cottage on the rock was even smallerthan the other; it had a wooden bolt instead of an iron lock to thedoor, a stone hearth, a flagstaff, and a weather-cock on the roof.the rock was called ahtola, and was not larger than the market-placeof a town. between the crevices there grew a little rowan tree and fouralder bushes. heaven only knows how they ever came there; perhaps theywere brought by the winter storms. besides that, there flourished sometufts of velvety grass, some scattered reeds, two plants of the yellowherb called tansy, four of a red flower, and a pretty white one; but thetreasures of the rock consisted of three roots of garlic, which maie hadput in a cleft. rock walls sheltered them on the north side, and thesun shone on them on the south. this does not seem much, but it sufficedmaie for a herb plot .",what was the name of the fisherman who lived by the shore of the sea?,salmon.,5,5,5
69,"there was once a fisherman who was called salmon, and his christian namewas matte. he lived by the shore of the big sea; where else could helive? he had a wife called maie; could you find a better name for her?in winter they dwelt in a little cottage by the shore, but in springthey flitted to a red rock out in the sea and stayed there the wholesummer until it was autumn. the cottage on the rock was even smallerthan the other; it had a wooden bolt instead of an iron lock to thedoor, a stone hearth, a flagstaff, and a weather-cock on the roof.the rock was called ahtola, and was not larger than the market-placeof a town. between the crevices there grew a little rowan tree and fouralder bushes. heaven only knows how they ever came there; perhaps theywere brought by the winter storms. besides that, there flourished sometufts of velvety grass, some scattered reeds, two plants of the yellowherb called tansy, four of a red flower, and a pretty white one; but thetreasures of the rock consisted of three roots of garlic, which maie hadput in a cleft. rock walls sheltered them on the north side, and thesun shone on them on the south. this does not seem much, but it sufficedmaie for a herb plot .",what was the name of the red rock by the sea?,ahtola.,5,5,5
